Energy(1/cm),Absorbance
3.598248e+002,-1.579441e-003
3.598398e+002,-1.358423e-003
3.598549e+002,-1.103617e-003
3.598700e+002,-8.466766e-004
3.598850e+002,-6.093050e-004
3.599001e+002,-4.001742e-004
3.599152e+002,-2.171724e-004
3.599302e+002,-5.566162e-005
3.599453e+002,8.937170e-005
3.599604e+002,2.237787e-004
3.599754e+002,3.533857e-004
3.599905e+002,4.876422e-004
3.600056e+002,6.382327e-004
3.600206e+002,8.169587e-004
3.600357e+002,1.031394e-003
3.600508e+002,1.277770e-003
3.600658e+002,1.539083e-003
3.600809e+002,1.788908e-003
3.600960e+002,1.995170e-003
3.601110e+002,2.126172e-003
3.601261e+002,2.154908e-003
3.601412e+002,2.059351e-003
3.601562e+002,1.823145e-003
3.601713e+002,1.434054e-003
3.601864e+002,8.893330e-004
3.602014e+002,2.015017e-004
3.602165e+002,-5.958381e-004
3.602316e+002,-1.446441e-003
3.602466e+002,-2.277483e-003
3.602617e+002,-3.013269e-003
3.602768e+002,-3.593751e-003
3.602918e+002,-3.990761e-003
3.603069e+002,-4.209622e-003
3.603220e+002,-4.281283e-003
3.603370e+002,-4.246734e-003
3.603521e+002,-4.136637e-003
3.603672e+002,-3.962394e-003
3.603822e+002,-3.718901e-003
3.603973e+002,-3.397527e-003
3.604124e+002,-3.006687e-003
3.604274e+002,-2.582197e-003
3.604425e+002,-2.184491e-003
3.604576e+002,-1.883424e-003
3.604726e+002,-1.733686e-003
3.604877e+002,-1.751012e-003
3.605027e+002,-1.904042e-003
3.605178e+002,-2.119903e-003
3.605329e+002,-2.310080e-003
3.605479e+002,-2.395203e-003
3.605630e+002,-2.328339e-003
3.605781e+002,-2.104339e-003
3.605931e+002,-1.751276e-003
3.606082e+002,-1.317629e-003
3.606233e+002,-8.501820e-004
3.606383e+002,-3.828276e-004
3.606534e+002,6.624000e-005
3.606685e+002,4.924521e-004
3.606835e+002,8.952430e-004
3.606986e+002,1.269861e-003
3.607137e+002,1.602166e-003
3.607288e+002,1.869132e-003
3.607438e+002,2.041274e-003
3.607589e+002,2.090047e-003
3.607740e+002,1.990643e-003
3.607890e+002,1.731187e-003
3.608041e+002,1.319345e-003
3.608192e+002,7.833320e-004
3.608342e+002,1.723975e-004
3.608493e+002,-4.511175e-004
3.608643e+002,-1.025645e-003
3.608794e+002,-1.503799e-003
3.608945e+002,-1.866763e-003
3.609095e+002,-2.125409e-003
3.609246e+002,-2.309982e-003
3.609397e+002,-2.454644e-003
3.609547e+002,-2.578179e-003
3.609698e+002,-2.670296e-003
3.609849e+002,-2.696542e-003
3.609999e+002,-2.610819e-003
3.610150e+002,-2.383143e-003
3.610301e+002,-2.017939e-003
3.610451e+002,-1.557288e-003
